Features,min,max,mean,std
IMU1_GyroX_Mean,-3842.99984760925,64004.8798222037,360.264235767559,3990.775774332363
IMU1_GyroX_StdDev,17.628332589585604,42240.678565293,1019.2067742689982,2650.81551271379
IMU1_GyroX_RMS,22.0333981442568,42361.312947880295,1015.5348205038081,2655.638819847753
IMU1_GyroX_Amp,72.75720868822751,30540.3144011531,2665.656345386271,2391.896922136937
IMU1_GyroY_Mean,-6567.34058650548,91070.5773505751,454.20419080595065,5515.2216650746095
IMU1_GyroY_StdDev,18.478321926302897,9116.585760096059,389.0650219652685,774.256786732551
IMU1_GyroY_RMS,77.45318515240541,9124.41440866869,392.2145617740063,762.7049745956833
IMU1_GyroY_Amp,64.889027172786,7804.4791440136405,1086.6093984971458,721.7109167658746
IMU1_GyroZ_Mean,-5996.051528751329,3045.31571638182,-69.77117685808872,598.9654135290705
IMU1_GyroZ_StdDev,10.0516772977704,7624.05747694823,359.07622868025607,768.9474731334933
IMU1_GyroZ_RMS,37.0762625869004,7636.539736797671,359.2421921943727,762.7871581647723
IMU1_GyroZ_Amp,49.8827398450049,6419.44058542007,941.0570589659123,658.7486798014786
IMU1_AccX_Mean,-52.9905765137918,61.5726436002104,-2.6632630068869827,12.619066541667214
IMU1_AccX_StdDev,2.0071712832994,16134.799127938899,78.58227533176965,877.157977163481
IMU1_AccX_RMS,6.88032132149278,376.24007774000296,30.29442357074349,33.59652900779986
IMU1_AccX_Amp,7.162497506483151,9105.70142403942,130.67943977285918,495.29776178997463
IMU1_AccY_Mean,-26.977207461521,106.49502388095699,-1.20705915797016,15.17863243498596
IMU1_AccY_StdDev,0.6603624011813111,1101.56257826737,54.496074495444546,121.91341907743714
IMU1_AccY_RMS,7.99771509597176,1072.8395561003802,46.786167761619666,93.26202567005595
IMU1_AccY_Amp,2.8955116696588905,1731.89399446739,140.98314589507362,167.73851014655747
IMU1_AccZ_Mean,-242.950844717087,932.3656150733791,16.97595013579786,62.217716198204535
IMU1_AccZ_StdDev,1.47480144462154,3331.11864411986,78.23809456866825,256.67099323347213
IMU1_AccZ_RMS,9.67504208622603,1364.6366216270599,61.52811155096438,139.02626390600489
IMU1_AccZ_Amp,5.85517654099342,2871.4600894816303,174.4321000768566,264.0842372172619
IMU2_GyroX_Mean,-3758.15526662785,331710.534441699,970.3090221835295,18045.247808743447
IMU2_GyroX_StdDev,4.548895411459401,3358.5171305471004,189.29962898879504,305.51510789419945
IMU2_GyroX_RMS,4.71396765943021,3357.7896991832,187.7119480579422,301.10950533908084
IMU2_GyroX_Amp,19.724452186594,2090.8939987198896,516.8961941909018,312.8152701895729
IMU2_GyroY_Mean,-67979.2753090757,3412.5936510345196,-252.27124143270237,3858.138410700794
IMU2_GyroY_StdDev,1.5768725317971901,3764.2434401762102,217.54236037960146,401.0769386317334
IMU2_GyroY_RMS,2.23849820687871,3754.71112077221,216.43830761749697,396.89592818905635
IMU2_GyroY_Amp,7.20318805306857,3334.64782973268,575.5196374526828,443.33411058613217
IMU2_GyroZ_Mean,-2716.96632276237,4093.01419034747,3.0509075363029594,308.00464107871016
IMU2_GyroZ_StdDev,1.3532982768435702,7227.22493054818,164.91749553407058,457.753995015592
IMU2_GyroZ_RMS,1.7980239966872702,7219.29064452375,163.36646231879305,453.8089170361009
IMU2_GyroZ_Amp,5.696060302559331,7211.33868315338,405.4588566240201,468.03467773696303
IMU2_AccX_Mean,-3.2019849197041204,106.888695169953,15.93330189938578,18.841088375697254
IMU2_AccX_StdDev,0.14166011248907,221.741736104427,15.499692797258277,24.53557570859013
IMU2_AccX_RMS,4.81513746475695,145.411542599222,21.598667894626583,20.469998300476878
IMU2_AccX_Amp,0.6587672052663089,248.70857581608502,42.43575625460409,30.941099853941004
IMU2_AccY_Mean,-392.51424607721196,478.32919459761104,4.200845851045976,42.4354553208503
IMU2_AccY_StdDev,0.19850675016436,1745.9366284219598,32.423794539866215,130.59327822325858
IMU2_AccY_RMS,0.633130269179318,1119.65696517664,28.845801241828614,101.88386915899976
IMU2_AccY_Amp,0.98623578695392,1166.45311379973,50.90444402047907,109.76449970948741
IMU2_AccZ_Mean,0.897996836982652,105.429043698745,13.153916715500719,18.061071661073257
IMU2_AccZ_StdDev,0.150733559606757,614.831433822733,17.669073665658047,45.99654634213037
IMU2_AccZ_RMS,4.85766903557068,593.111457829729,21.438511205408066,40.373631767599285
IMU2_AccZ_Amp,0.5984440454817471,554.857662086401,43.871272838900836,53.15652897119599
OFS_FIB_Mean,57.40041208791221,293.76582278481,136.68251578263045,55.48307007227189
OFS_FIB_StdDev,0.34524714839062,101.027358928401,46.00106616517841,17.021976337516595
OFS_FIB_RMS,-1605.6143885511701,1261.36432642395,-19.409228027406826,404.455052378178
OFS_FIB_ROM,2.50869021169821,1606.56887912802,179.61111189232864,365.9989554766011
OFS_FIB_tnorm,1.1717109853228798,213.22875177026,124.79285158019874,45.43478700998062
OFS_FIB_MNF,5.6667030711663794e-05,1.6933112405165902,0.31856107519270427,0.37459661314213677
OFS_FIB_MDF,0.088709072791985,0.938208359624902,0.23859848003663847,0.1625346327298438
OFS_FIB_IMNF,0.6341034259992471,7.47543700996297,1.257906358982068,0.8219611085308073
EMG_EMG_Mean,0.0279961283392709,193.19133484362203,8.32664402773658,23.991219355401967
EMG_EMG_StdDev,0.008744666001371271,222.28741483666198,7.469873133936765,28.464922248438555
EMG_EMG_RMS,0.0293293282830014,287.09850397756196,11.513650320162823,37.121643390598514
EMG_EMG_Amp,0.0346345056582537,745.0805808174541,26.292124905860415,97.76021402098785
