OFS_FIB_MNF,OFS_FIB_MDF,EMG_EMG_MDF,IMU2_AccX_Mean,EMG_EMG_IMNF,EMG_EMG_MNF,OFS_FIB_IMNF,IMU2_AccZ_Mean,IMU2_AccZ_RMS,IMU2_AccZ_StdDev,fatigue_level
-0.367221,-0.260201,-0.221307,-1.000542,-0.358956,-0.481122,-0.461198,-0.966577,-0.63126,-0.598038,3
-0.358526,-0.217559,-0.194466,-0.998552,-0.33713,-0.215871,-0.465678,-0.972273,-0.626172,-0.593194,3
-0.373834,-0.263744,-0.271549,-1.006186,-0.272692,-0.345832,-0.462781,-0.963709,-0.624602,-0.592356,3
-0.359745,-0.259682,-0.134992,-1.005092,-0.259368,-0.437175,-0.482163,-0.967562,-0.622258,-0.590021,3
-0.265744,-0.157077,-0.294465,-1.00224,-0.294587,-0.501974,-0.479339,-0.965781,-0.614744,-0.583533,3
-0.316964,-0.213351,-0.283686,-0.999817,-0.128691,-0.560896,-0.477301,-0.970282,-0.603106,-0.57302,3
-0.351512,-0.259175,-0.149562,-1.006349,-0.215639,-0.181275,-0.474862,-0.965457,-0.584885,-0.557268,3
-0.353723,-0.267084,0.298293,-0.999459,-0.28955,0.037915,-0.469437,-0.971119,-0.569105,-0.543173,3
-0.313136,-0.294428,-0.386603,-0.99498,-0.120086,-0.684693,-0.466601,-0.976318,-0.567287,-0.541362,3
-0.241776,-0.163801,-0.131201,-1.000606,-0.203842,-0.249514,-0.465854,-0.969427,-0.569722,-0.543793,3
-0.445595,-0.439948,-0.083367,-1.003414,-0.202671,-0.296499,-0.442885,-0.959816,-0.573782,-0.547827,3
-0.449802,-0.366615,-0.220797,-1.006256,-0.315638,-0.345434,-0.449189,-0.969135,-0.579198,-0.552148,3
-0.51285,-0.40555,-0.24062,-1.001785,-0.243482,-0.374586,-0.448942,-0.966008,-0.599117,-0.569798,3
-0.491084,-0.444353,-0.282849,-1.000557,-0.174045,-0.371278,-0.440624,-0.968645,-0.60596,-0.575646,3
-0.457535,-0.392058,-0.179775,-1.005509,-0.229807,-0.247258,-0.434187,-0.961582,-0.606695,-0.576711,3
-0.510754,-0.451266,-0.268983,-1.00843,-0.305725,-0.526103,-0.426959,-0.963689,-0.599307,-0.57004,3
-0.50841,-0.488694,-0.258653,-0.999219,-0.274334,-0.428194,-0.427075,-0.977263,-0.605616,-0.574927,3
-0.501225,-0.503846,-0.039633,-1.013615,-0.199175,-0.111399,-0.368596,-0.955958,-0.600149,-0.571325,3
-0.51825,-0.515158,-0.000564,-0.998289,-0.25789,-0.201722,-0.103443,-0.980145,-0.594711,-0.565258,3
-0.512217,-0.425531,-0.177233,-0.998529,0.762185,-0.17713,0.28477,-0.964124,-0.581834,-0.554675,3
0.473162,-0.222736,1.734334,1.084333,0.760204,1.024618,4.389988,1.099375,0.341282,0.249965,1
0.160874,-0.293687,-0.398013,1.105038,-0.303157,-0.498275,0.076321,0.976004,0.296984,0.453451,1
0.391131,-0.057673,-0.159024,1.101758,-0.283173,-0.191707,0.007575,0.974739,0.315949,0.656343,1
0.301077,-0.141824,-0.079794,1.127776,-0.170456,-0.180012,-0.030328,0.909829,0.255242,0.345487,1
0.249512,-0.33697,-0.47344,1.128362,-0.255286,-0.359332,-0.154472,0.852813,0.223244,0.295562,1
0.189153,-0.327705,-0.342323,1.137368,-0.176536,-0.479529,-0.235265,0.846961,0.21917,0.280986,1
0.422343,-0.138497,3.323789,1.150617,-0.325684,3.377057,-0.211668,0.754519,0.177977,0.32326,1
0.294528,-0.165258,15.814167,1.154477,-0.328269,14.421715,-0.110191,0.725198,0.183409,0.52474,1
0.380885,-0.106513,-0.133469,1.147218,-0.150241,-0.059074,-0.050479,0.761546,0.214575,0.654727,1
0.43004,0.143861,-0.26407,1.152114,-0.156873,-0.433878,-0.105629,0.745836,0.19762,0.568579,1
0.357066,-0.054371,0.464481,1.159976,-0.224845,0.304823,-0.08197,0.738384,0.181772,0.448387,1
0.460268,-0.01624,-0.086624,1.146707,0.490925,-0.183182,0.210042,0.781349,0.199662,0.421418,1
0.220718,-0.178642,-0.281721,1.14163,-0.042448,-0.592673,1.845847,0.805438,0.222456,0.53401,2
0.235605,-0.270639,-0.640665,0.225275,-0.28425,-0.182784,0.27102,-0.064967,-0.245486,-0.108259,2
-0.282416,-0.46697,0.076664,-0.449519,-0.127612,-0.29868,-0.213929,-0.747051,-0.614014,-0.651331,2
-0.823054,-0.269536,-0.006727,-0.44969,-0.214725,-0.619693,-0.380903,-0.740809,-0.60407,-0.639352,2
-0.826579,-0.186995,1.204987,-0.451736,-0.21448,0.813951,-0.353875,-0.737245,-0.594631,-0.627143,2
-0.827497,-0.064567,0.730128,-0.454246,-0.138397,0.334727,-0.266333,-0.728392,-0.587389,-0.621947,2
-0.454381,-0.16048,-0.083664,-0.45789,-0.285259,-0.525643,-0.358777,-0.723791,-0.586097,-0.622883,2
-0.647812,-0.058915,0.283335,-0.45244,-0.268628,-0.475795,-0.438406,-0.728001,-0.590495,-0.626798,2
-0.822038,-0.110062,0.173867,-0.457721,-0.338113,1.798436,-0.359701,-0.73138,-0.592375,-0.627403,2
-0.605446,-0.020245,3.843625,-0.453259,-0.352896,1.389444,-0.46559,-0.722861,-0.588454,-0.627026,2
0.328649,-0.337515,-0.332594,-0.464592,-0.305022,0.40772,-0.521386,-0.711896,-0.583928,-0.627389,2
-0.38962,-0.674784,-0.643934,-0.456285,-0.24926,-0.354331,-0.496895,-0.727291,-0.588078,-0.623789,2
0.093135,-0.280994,-0.350464,-0.453548,-0.298557,1.998664,-0.482403,-0.738704,-0.591446,-0.62177,2
0.038853,-0.285747,0.288187,-0.448154,-0.238377,1.537601,-0.515515,-0.739723,-0.595353,-0.626807,2
0.22265,-0.176862,-0.273381,-0.454701,-0.199826,-0.215901,-0.592098,-0.728606,-0.600833,-0.643016,2
-0.421609,-0.669252,0.035205,-0.461073,-0.288636,-0.117896,-0.612145,-0.711118,-0.595707,-0.648303,2
-0.671739,-0.905792,0.928695,-0.458899,-0.281395,0.968223,-0.592983,-0.722612,-0.603526,-0.652947,2
-0.039983,-0.3919,-0.625112,-0.446775,-0.20355,0.09138,-0.549161,-0.758194,-0.622225,-0.656907,2
0.386008,-0.047945,-0.166855,-0.444255,-0.189717,-0.34786,-0.586454,-0.76039,-0.622898,-0.656509,2
-0.594154,-0.864822,0.508597,-0.445049,-0.019531,0.540159,-0.254957,-0.759755,-0.6277,-0.665985,2
0.01099,-0.325455,-0.471553,-0.445447,3.366216,-0.161723,0.809849,-0.764765,-0.630556,-0.666952,3
-0.036573,-0.130765,1.042372,-0.446308,-0.256229,0.575806,-0.434649,-0.757996,-0.628669,-0.670053,3
-0.331492,-0.63922,-0.466525,-0.446226,-0.328256,0.188094,-0.570071,-0.768097,-0.635561,-0.674379,3
0.172187,-0.113516,-0.374047,-0.442409,-0.247857,-0.228225,-0.47688,-0.772962,-0.638698,-0.676184,3
-0.384935,-0.551438,0.565772,-0.442912,-0.319446,0.315902,-0.530524,-0.764649,-0.636988,-0.682753,3
-0.646027,-0.820545,-0.563521,-0.445925,-0.366958,0.156281,-0.53463,-0.76523,-0.637132,-0.682155,3
0.002024,-0.418719,-0.54621,-0.448528,-0.352837,0.022493,-0.564123,-0.76212,-0.633556,-0.676692,3
0.542729,0.144571,-0.298499,-0.449261,-0.358194,0.030164,-0.480811,-0.763046,-0.623973,-0.656842,3
-0.596913,-0.845747,1.180081,-0.444632,-0.304444,0.568027,-0.517356,-0.766683,-0.610847,-0.633044,3
-0.012455,-0.435069,-0.136715,-0.441812,-0.234865,0.543664,-0.513338,-0.7766,-0.602875,-0.616869,3
-0.074872,-0.323015,-0.312517,-0.451386,-0.393673,-0.284482,-0.378809,-0.752885,-0.5987,-0.623916,3
-0.342929,-0.665424,0.004834,-0.46142,-0.280409,-0.240312,-0.399628,-0.727125,-0.588081,-0.623895,3
0.356937,-0.024206,-0.618664,-0.473933,-0.359003,-0.099869,-0.389374,-0.70555,-0.57961,-0.625097,3
0.128028,-0.277838,-0.207192,-0.451302,-0.338691,-0.25403,-0.458617,-0.750063,-0.59608,-0.621736,3
0.349263,0.08068,0.232274,-0.455097,-0.339747,-0.342632,-0.508348,-0.759371,-0.5896,-0.608333,3
0.235326,-0.116462,-0.476303,-0.443605,-0.339799,-0.352908,-0.478216,-0.769377,-0.596042,-0.611593,3
0.153383,-0.050144,0.362371,-0.45229,-0.30441,-0.060805,-0.386712,-0.757719,-0.595552,-0.616937,3
-0.712132,-0.90223,-0.249446,-0.441916,-0.379887,-0.367406,-0.430722,-0.773041,-0.591261,-0.60406,3
-0.700083,-0.907313,0.400973,-0.445594,-0.330338,1.016144,-0.376888,-0.769589,-0.586459,-0.599931,3
-0.454985,-0.628618,-0.702941,-0.439467,-0.32111,-0.162566,-0.422011,-0.776104,-0.585018,-0.59556,3
0.101716,-0.162451,-0.565753,-0.447483,-0.382387,0.238251,-0.458493,-0.774353,-0.588737,-0.600741,3
0.048126,-0.282616,2.733876,-0.445197,-0.302361,1.243645,-0.423333,-0.771845,-0.58734,-0.600156,3
-0.038225,-0.307496,-0.121393,-0.452815,-0.352211,-0.571084,-0.432312,-0.7615,-0.571545,-0.585932,3
-0.521681,-0.711305,0.105616,-0.454676,-0.394289,0.298563,-0.473142,-0.754955,-0.552766,-0.567338,3
-0.682195,-0.855538,-0.111894,-0.453273,-0.417942,-0.264683,-0.481844,-0.762507,-0.547652,-0.559148,3
-0.705677,-0.874322,0.231243,-0.452693,-0.385227,0.129334,-0.450809,-0.771758,-0.560614,-0.570033,3
-0.75533,-0.986159,-0.725985,-0.446326,-0.413993,-0.39558,-0.473346,-0.775997,-0.565306,-0.573766,3
-0.221806,-0.579746,-0.699393,-0.449039,-0.432131,-0.242562,-0.51253,-0.764658,-0.555531,-0.567078,3
-0.094721,-0.391209,-0.636558,-0.447864,-0.404941,-0.172546,-0.419735,-0.765942,-0.551702,-0.562561,3
0.060643,-0.353795,-0.733154,-0.447197,-0.31226,-0.181733,-0.511418,-0.769421,-0.560709,-0.571133,3
-0.170657,-0.350043,-0.473791,-0.446987,-0.406758,-0.366718,-0.53858,-0.762575,-0.57497,-0.589624,3
-0.40938,-0.553155,-0.129211,-0.448153,-0.382854,-0.114915,-0.503175,-0.768408,-0.56799,-0.579424,3
-0.573592,-0.762103,-0.355462,-0.452977,-0.402917,0.217371,-0.481999,-0.772296,-0.567143,-0.576958,3
-0.740187,-0.959854,-0.016335,-0.445986,-0.284732,-0.391838,-0.524515,-0.764341,-0.566029,-0.578517,3
-0.754191,-0.980374,-0.416865,-0.454059,-0.417574,-0.432643,-0.412412,-0.751663,-0.583257,-0.604251,3
-0.76127,-0.996945,-0.089439,-0.453427,-0.391314,0.006651,-0.304135,-0.762897,-0.596593,-0.615502,3
-0.795438,-1.04185,-0.766394,-0.45087,0.250708,-0.444781,0.882468,-0.763221,-0.567835,-0.58114,3
-0.886588,-0.107565,0.23023,1.084333,-0.035169,-0.494519,0.756979,1.099375,0.341282,0.249965,1
-0.857322,-0.590449,-0.33832,1.156943,-0.245735,-0.734385,0.311317,1.186282,0.35276,0.244478,1
-0.541262,-0.850849,-0.429027,1.013716,-0.268115,0.409379,-0.043106,1.737762,0.418773,0.194395,1
-0.570763,-0.481596,-0.285664,1.05427,-0.287538,-0.303755,-0.09329,1.710813,0.342392,0.091184,1
-0.486294,-0.492889,-0.540526,1.132706,-0.317192,-0.435017,-0.072288,1.544298,0.236453,-0.016749,1
-0.474857,-0.427363,-0.45779,1.034241,-0.336093,-0.286977,-0.186726,1.570902,0.284071,0.047494,1
-0.508242,-0.467103,-0.338284,1.107193,-0.309692,-0.608117,-0.255733,1.525123,0.355682,0.164105,1
-0.54398,-0.565335,-0.474125,1.15765,-0.232063,-0.361827,-0.242317,1.518904,0.471428,0.323246,1
0.00702,-0.068699,-0.341268,1.144229,-0.187928,-0.070375,-0.194944,1.678888,0.542861,0.379938,1
0.434045,0.370928,0.318601,1.047976,-0.21255,1.814027,-0.171058,1.667055,0.5381,0.375938,1
0.278039,0.267334,0.462989,1.133875,-0.288454,-0.280281,-0.111021,1.934536,0.591864,0.382837,1
0.243965,0.232588,0.319577,0.999334,-0.287865,0.385198,-0.097757,1.573611,0.546263,0.409738,1
-0.389508,-0.372939,0.120071,1.07416,-0.22063,-0.249544,-0.185385,1.627038,0.640416,0.516883,1
0.216822,0.194907,-0.389642,1.061451,-0.230972,-0.136873,-0.237283,1.549059,0.772062,0.691379,1
0.343024,0.280782,0.42079,1.001922,-0.286865,-0.169655,-0.220979,1.549815,0.88441,0.827905,1
-0.51641,-0.487071,0.309357,1.114375,-0.305969,-0.18041,-0.241969,1.672892,0.932144,0.863644,1
-0.50462,-0.491659,-0.098574,1.123291,-0.279466,0.370549,-0.263684,1.798796,1.005149,0.928342,1
-0.513586,-0.396767,-0.428099,1.222387,-0.262727,-0.290512,-0.24301,1.822147,1.209309,1.160461,1
-0.624491,-0.361057,-0.261638,1.125577,-0.26935,0.148942,-0.266509,1.477233,1.290903,1.301653,1
-0.660199,-0.394999,-0.204735,1.191397,-0.285492,-0.484333,-0.254733,1.607915,1.409376,1.419877,1
-0.676126,-0.369669,0.001147,1.214908,-0.31966,-0.379628,-0.186392,1.187371,1.602075,1.669333,1
-0.589513,-0.369055,0.09064,1.114892,-0.30035,-0.129939,-0.114404,1.110441,1.683741,1.77055,1
-0.648112,-0.438833,0.359781,1.107369,-0.251438,0.056509,-0.150354,1.344845,1.690826,1.758101,1
-0.714484,-0.524416,-0.231218,1.197114,-0.249513,-0.310669,-0.255465,1.598207,1.650201,1.688423,1
-0.664805,-0.447927,-0.218523,1.219035,-0.272646,-0.241831,-0.234714,1.320064,1.679772,1.746969,1
-0.663591,-0.439574,-0.360606,1.025725,-0.278223,-0.530789,-0.225394,1.02303,1.596008,1.682592,1
-0.705227,-0.434188,-0.221998,1.218076,-0.312667,-0.310524,-0.219128,1.413186,1.766595,1.834548,1
-0.683343,-0.491425,-0.196061,1.115094,-0.335029,-0.352904,-0.078415,1.386156,1.848975,1.927204,1
-0.670641,-0.470373,-0.235883,1.14397,-0.320559,-0.076487,0.038887,1.202194,1.902082,1.999485,1
-0.682021,-0.48299,-0.262141,1.215806,-0.264254,-0.287805,-0.096499,1.384403,1.870317,1.950204,1
-0.714478,-0.510253,-0.189741,1.196868,-0.211332,-0.323687,-0.037207,1.430194,1.886906,1.96435,1
-0.699485,-0.51223,-0.322592,1.250527,-0.224278,-0.49043,-0.008286,1.310744,1.815611,1.897066,1
-0.701366,-0.46728,-0.199852,1.108507,-0.260347,-0.170172,0.0189,1.057912,1.591878,1.674888,1
-0.712111,-0.510943,-0.366944,1.271723,-0.305099,-0.051558,0.07495,1.252738,1.561133,1.624954,1
-0.729858,-0.478104,-0.167061,1.238116,-0.263275,-0.467696,0.100483,1.155249,1.300092,1.34718,1
-0.744751,-0.53991,-0.21401,1.115289,-0.225925,-0.071006,0.241383,0.854244,1.216949,1.284413,1
-0.712703,-0.532959,-0.233808,1.428194,-0.224633,-0.125859,0.688865,1.239862,1.266156,1.30126,1
-0.727255,-0.555646,-0.170179,1.077008,-0.26731,-0.308349,1.661876,1.017833,1.210724,1.262325,1
-0.70909,-0.47683,-0.061646,1.207935,-0.311606,0.220697,2.409978,1.153097,1.281962,1.327554,1
