OFS_FIB_MNF,OFS_FIB_MDF,EMG_EMG_MDF,IMU2_AccX_Mean,EMG_EMG_IMNF,EMG_EMG_MNF,OFS_FIB_IMNF,IMU2_AccZ_Mean,IMU2_AccZ_RMS,IMU2_AccZ_StdDev,fatigue_level
0.182776,0.190745,0.178423,4.332946,7.442252,0.319570,0.797061,1.893577,16.704147,16.632821,3
0.182025,0.189497,0.252257,4.648201,7.014010,0.420947,0.800701,1.624550,18.123334,18.088455,3
0.195809,0.185182,0.139344,4.853184,7.995893,0.086735,0.802604,1.377525,18.286831,18.275556,3
0.220044,0.205795,0.181450,4.595711,7.510609,0.288009,0.803105,1.704922,18.067799,18.024481,3
0.150824,0.162219,0.189336,4.467244,7.517394,0.266278,0.818517,2.161579,17.702653,17.607808,3
0.149395,0.173791,0.166679,4.337174,6.862854,0.243645,0.814287,1.718824,17.215561,17.161602,3
0.127983,0.167647,0.163411,4.541759,7.280931,0.230162,0.814453,1.867353,15.424119,15.338761,3
0.135375,0.161524,0.156449,4.597948,7.683253,0.231692,0.820034,1.742076,14.808670,14.734812,3
0.146769,0.169776,0.173442,4.371363,7.360166,0.289052,0.824353,2.077647,14.742579,14.624853,3
0.128695,0.160433,0.158735,4.237710,6.920290,0.160084,0.829203,1.977577,15.407039,15.313822,3
0.129491,0.154527,0.160438,4.659176,7.102172,0.205368,0.829125,1.332634,14.839637,14.809054,3
0.131931,0.152136,0.196546,4.000459,7.537646,0.351888,0.868364,2.344892,15.331302,15.181067,3
0.126149,0.150351,0.202987,4.701727,7.197449,0.310113,1.046278,1.195690,15.820406,15.807622,3
0.128198,0.164494,0.173861,4.690764,13.107825,0.321487,1.306763,1.956912,16.978539,16.900633,3
0.462848,0.196495,0.489005,100.000000,13.096347,0.877305,4.061307,100.000000,100.000000,100.000000,1
0.356790,0.185299,0.137463,100.947472,6.935168,0.172955,1.166897,94.138232,96.016003,121.015145,1
0.434989,0.222542,0.176863,100.797385,7.050959,0.314745,1.120769,94.078170,97.721707,141.968814,1
0.404405,0.209263,0.189925,101.987911,7.704045,0.320154,1.095337,90.994060,92.261924,109.865070,1
0.386893,0.178469,0.125028,102.014744,7.212540,0.237217,1.012038,88.285056,89.384106,104.709128,1
