1.2145,1.1265,1.0084,0.93712,0.93605,0.98077,1.326,1.0093,0.96925,1.0365,1.1788,1.1342,1.0478,1.0997,1.1788,1.2097,1.0373,1.0001,1.1571,0.96501,1.021,0.85137,0.90299,0.95857,1.0082,1.002,0.97062,1.0092,1.0478,1.0997,1.1571,1.1383,1.2449,1
1.1494,1.0219,1.046,1.0151,0.9606,0.98215,1.3183,0.91062,0.92036,1.0025,0.98985,1.2843,0.98219,0.99926,1.1449,1.2806,1.1558,0.99317,1.2848,1.0111,1.1053,0.95696,0.92684,0.93662,0.97932,1.0038,1.2178,0.97569,0.98219,0.99926,1.2848,1.0629,1.2469,1
1.215,1.0994,1.0804,0.87648,0.89024,0.9921,1.3177,0.9353,0.9249,0.98812,1.3023,1.0508,0.94077,0.96024,1.0889,1.3268,1.1773,0.98478,1.1384,0.82731,1.0426,0.95402,0.94873,0.8626,0.9432,1.0784,1.3523,0.95966,0.94077,0.96024,1.1384,1.0181,1.2537,1
1.0712,0.9929,1.0965,0.89684,0.95366,1.0089,1.1206,0.95903,0.93991,1.065,1.0025,1.1951,0.92409,0.94021,1.1522,1.424,1.2074,0.89374,0.96528,0.96893,1.1734,0.96514,0.95089,0.87061,0.97629,1.0328,1.3074,0.88624,0.92409,0.94021,0.96528,0.85533,1.2622,1
1.3106,1.3771,1.2195,1.087,1.1053,1.0065,1.4565,1.0727,1.1553,1.0722,1.4168,1.3733,1.0193,1.0172,1.2719,1.1178,1.0879,0.96927,1.4193,1.0938,1.2496,0.86351,0.87146,1.0964,1.1429,0.94031,1.427,1.0015,1.0193,1.0172,1.4193,1.0602,1.2677,2
1.2767,1.2298,1.2643,1.1239,1.1517,0.95774,1.392,1.0395,1.0677,1.006,1.3425,1.3672,1.0106,1.016,1.1908,1.2425,1.0882,0.96761,1.1611,1.1683,1.061,0.7976,0.87461,0.98814,1.0863,1.1553,1.5117,1.0352,1.0106,1.016,1.1611,1.0428,1.3722,2
1.372,1.2119,1.2958,1.1108,1.1305,1.0081,1.4671,1.0294,1.1431,1.0971,1.3777,1.3545,0.91859,0.98798,0.9513,1.2318,1.1005,0.9112,1.3126,1.1322,1.1947,0.88388,0.89651,1.0651,1.0625,0.98806,1.4461,1.0159,0.91859,0.98798,1.3126,1.1099,1.4075,2
1.4595,1.4363,1.3883,1.0339,1.0292,0.95112,1.402,1.0531,1.0196,0.87479,1.3617,1.2333,0.96778,1.0046,1.3415,1.4702,1.2172,0.93087,1.0184,1.1464,1.1797,0.89884,0.9441,0.98682,1.0921,0.94295,1.4192,1.0929,0.96777,1.0046,1.0184,1.0413,1.4971,3
1.3624,1.1016,1.3929,1.0297,1.0477,1.0232,1.5243,1.077,1.0959,1.0876,1.4802,1.2936,0.96471,0.99025,1.4005,1.555,1.3534,0.90533,1.299,1.1546,1.1965,0.97684,0.948,1.0321,1.1404,0.99716,1.4242,1.0795,0.9647,0.99025,1.299,0.77534,1.5255,3
1.3071,1.0829,1.4014,1.1057,1.1083,1.0405,1.3488,1.0652,1.0238,1.0114,1.3206,1.4402,0.79565,0.93549,1.3864,1.4641,1.2561,0.8957,1.3081,1.163,1.2539,1.0324,0.94881,0.96857,1.1002,0.95478,1.5068,1.0716,0.79565,0.93549,1.3081,1.0455,1.5436,3
