,min,max,mean,std
IMU1_GyroX_Mean,-4.29274718993735,6.59857778126231,0.005531340462013666,0.6874645820084441
IMU1_GyroX_StdDev,-0.435099228695849,8.30615511305412,0.027841502549868336,1.054615949852572
IMU1_GyroX_RMS,-0.432426916038683,8.31076777397901,0.02831572774110199,1.054577314905249
IMU1_GyroX_Amp,-0.719973313335833,7.89255163022249,0.02146080360732013,1.0660129888472218
IMU1_GyroY_Mean,-13.1596891257985,6.19750486913215,-0.0588628330168148,1.1138868693145296
IMU1_GyroY_StdDev,-0.49807957759659,6.22503715082472,0.007133832677535345,0.9540329708127688
IMU1_GyroY_RMS,-0.480132114701318,6.21441163279953,0.010562107459924943,0.9564367445724284
IMU1_GyroY_Amp,-0.682751077253588,6.19930378952433,-0.002209011219176818,0.9113255569538798
IMU1_GyroZ_Mean,-16.132472314987,4.95385168562458,-0.0598798404223727,1.194749885131372
IMU1_GyroZ_StdDev,-0.554261992441589,6.91469873511275,-0.0061701838882449065,0.8904542260958845
IMU1_GyroZ_RMS,-0.542655497893243,6.95337906169843,-0.005115213764252775,0.8890518066574864
IMU1_GyroZ_Amp,-0.760001339448527,6.73208144330436,-0.0026683964705464893,0.8939492433715176
IMU1_AccX_Mean,-2.03872808205968,4.48328291872291,0.0032957457982579256,0.9972331200443271
IMU1_AccX_StdDev,-0.171425863153472,16.6211970385862,-0.005519021161603367,0.9822237483361064
IMU1_AccX_RMS,-0.905689547900038,4.42310675422406,0.015832735099881975,1.0371891800263264
IMU1_AccX_Amp,-0.370024329614973,15.6756792773663,-0.0031113265570934167,0.978895252532377
IMU1_AccY_Mean,-2.20800663124081,3.32825290234478,0.005393640563187579,1.0007226235309168
IMU1_AccY_StdDev,-0.683702832278425,6.62591611770479,0.03459261523993795,1.1016702336925834
IMU1_AccY_RMS,-0.659539672530755,8.04544022509325,0.04295921870194838,1.1586549668992685
IMU1_AccY_Amp,-0.841028587552902,5.98484178889437,0.021850404512332333,1.0433937904057438
IMU1_AccZ_Mean,-0.410722390738549,9.28895740164632,-0.03506752793270462,0.8395847177416775
IMU1_AccZ_StdDev,-0.31703391305044,11.0017309960581,-0.0363693802686843,0.7576690753867098
IMU1_AccZ_RMS,-0.273924772822667,11.3368398051992,-0.03632652670459869,0.7424997881303468
IMU1_AccZ_Amp,-0.411862829888922,10.7515414638031,-0.03404401428670111,0.7833191266444354
IMU2_GyroX_Mean,-7.13350779801365,9.32893582578554,0.02302475033736886,0.8202137962722407
IMU2_GyroX_StdDev,-0.668222737238497,9.2781159874755,-0.007603860073675953,0.9461372009676078
IMU2_GyroX_RMS,-0.664045338495199,9.39904395049118,-0.004911336475924115,0.9480004540814233
IMU2_GyroX_Amp,-1.12797406405213,6.70435791580816,-0.022368668264656177,0.9240502996155437
IMU2_GyroY_Mean,-12.9757603581086,14.708015021835,-0.030576257424181123,1.0703928319095488
IMU2_GyroY_StdDev,-0.512481539574796,7.49707258700843,-0.035049991601845555,0.8277113389290381
IMU2_GyroY_RMS,-0.510200998828721,7.51058614988779,-0.03433077762630225,0.8277579579975083
IMU2_GyroY_Amp,-0.888835697136166,7.03300011581302,-0.03152509429499729,0.893198782216237
IMU2_GyroZ_Mean,-7.72933905196027,7.26625679613329,0.0002659670020074173,0.796444808799106
IMU2_GyroZ_StdDev,-0.511863828918243,8.64617465553515,-0.005004542099289786,0.9723155245415706
IMU2_GyroZ_RMS,-0.507766960571503,8.74204080767356,-0.004257216011065842,0.971329555135742
IMU2_GyroZ_Amp,-0.734873609378526,9.62099840848823,0.002321785286428942,0.9894422469792892
IMU2_AccX_Mean,-1.85878506471242,1.48585848835813,0.006934922402300732,0.9960200992952801
IMU2_AccX_StdDev,-0.991625420975239,4.36060002216503,-0.00029192638496956016,0.9816163328093334
IMU2_AccX_RMS,-1.07526494768932,4.98267759733646,0.012452138541283056,1.0144090705392295
IMU2_AccX_Amp,-1.39384434599283,4.28068253733393,-0.0038917089369835517,0.980491345383822
IMU2_AccY_Mean,-6.57902482837402,6.6914017839667,0.015710310465930483,1.0202010379271425
IMU2_AccY_StdDev,-0.528437110297412,7.95344447987537,-0.006442490149967599,0.9668538192814442
IMU2_AccY_RMS,-0.530227130995338,8.28519922445515,-0.0009370477222309394,0.9698181495042157
IMU2_AccY_Amp,-0.625392950779809,8.00628766927741,-0.0033875909857052915,0.9558825702258317
IMU2_AccZ_Mean,-1.02307419107113,3.95364028514452,0.022776946837444103,1.0162248877969935
IMU2_AccZ_StdDev,-0.716575316195598,12.300550013044,0.01839413973312103,1.0654541848775472
IMU2_AccZ_RMS,-0.719004308642075,13.6390642992317,0.027196088529795104,1.0879859112058268
IMU2_AccZ_Amp,-0.957046852329894,9.26066769811781,0.014265452256185062,1.0356294294328074
OFS_FIB_Mean,-1.61656127185918,3.22449257241403,0.00667982012749435,0.9829943214849777
OFS_FIB_StdDev,-0.364877232333885,8.16730307666913,-0.020951241192404744,0.9398176986206833
OFS_FIB_RMS,-4.30360285538203,3.73811594710084,0.014110345658898932,1.0015672975410344
OFS_FIB_ROM,-0.597678974190981,4.61059569880412,-0.001652447125708365,0.9932155321270952
OFS_FIB_tnorm,-0.40133138183801,7.63106470547462,-0.019019111247374227,0.9844346773414775
OFS_FIB_MNF,-0.88962651092068,4.096271509376,-0.013424429314748,1.022459842065294
OFS_FIB_MDF,-1.04184787839184,4.96474670058375,-0.015485266999828268,1.0131038634621505
OFS_FIB_IMNF,-0.793018956677175,9.47821565351416,0.018915452937434272,1.038616871605062
