,min,max,mean,std
IMU1_GyroX_Mean,-190505.164214892,58369.4518485939,-213.18506430750156,9770.523344150328
IMU1_GyroX_StdDev,37.0716124661657,58595.3446116425,5281.1000085715405,9139.900769033853
IMU1_GyroX_RMS,13.8389237215714,58592.6305274222,5252.83428003996,9157.183501676976
IMU1_GyroX_Amp,36.9472293477379,41712.2025950159,4106.876106564555,6755.59744373064
IMU1_GyroY_Mean,-103528.84114651,71270.7801626137,-249.79293291709536,11367.939213378548
IMU1_GyroY_StdDev,55.747913452355,25141.4179617431,3357.002149394215,4435.936255496848
IMU1_GyroY_RMS,16.3034192167033,25111.9027910699,3357.0061200620517,4439.320951336999
IMU1_GyroY_Amp,47.2420712821184,21347.1480734124,2965.612216642829,3968.1852250804104
IMU1_GyroZ_Mean,-146053.328489351,94013.9271708347,-395.7819060828663,11624.665491445507
IMU1_GyroZ_StdDev,36.3842036473811,25058.8388386372,3011.2285360506467,3446.302596043419
IMU1_GyroZ_RMS,33.4452696917319,25090.6464056464,2988.547843482677,3441.0347237551464
IMU1_GyroZ_Amp,34.76048334071,19786.4311492337,2604.202429971002,3065.492406448828
IMU1_AccX_Mean,-68.067642832854,171.469107179213,40.26008604378534,36.35974235012234
IMU1_AccX_StdDev,78.2301664993428,19183.8985814841,397.21419986511006,1613.6428820646724
IMU1_AccX_RMS,46.6633011144099,511.741863770647,163.11104293057855,87.69555136356044
IMU1_AccX_Amp,79.2473118279572,11222.5806451613,457.3138983023718,976.8724400723147
IMU1_AccY_Mean,-68.8698103094237,222.128390619604,72.98357282729215,33.47309782731887
IMU1_AccY_StdDev,58.5507377278637,2545.20295705598,414.01680958474884,345.3262868906967
IMU1_AccY_RMS,44.4569626864711,2121.24445110619,325.41913539123726,293.48845794122076
IMU1_AccY_Amp,74.5098039215686,2787.24490682042,608.1963037631552,495.4725030655242
IMU1_AccZ_Mean,-1016.57124990499,46735.8262188055,1102.584291755025,5538.6582019488205
IMU1_AccZ_StdDev,67.6605958592013,22350.8207820089,1150.4124929627465,2393.622815329625
IMU1_AccZ_RMS,71.7008497067222,22377.8950234944,979.4123267423506,2379.6832422278535
IMU1_AccZ_Amp,64.8412698412697,22749.2248062014,1377.8567608205656,2343.9644610351
IMU2_GyroX_Mean,-490256.86495933,516181.286080137,50.99367169659517,42239.629341707536
IMU2_GyroX_StdDev,23.0638283436898,7631.23825301912,941.5112349101114,990.2443415159123
IMU2_GyroX_RMS,21.116186339512,7624.58520440651,920.8587446825137,982.3122333550101
IMU2_GyroX_Amp,35.0472943134427,5119.34169832774,807.1388236597227,804.844062580883
IMU2_GyroY_Mean,-131937.046708066,192307.242658914,200.53706798964075,15217.399698851455
IMU2_GyroY_StdDev,45.3436849686573,13423.7438067569,1308.1635591725303,1817.576430144551
IMU2_GyroY_RMS,39.8569091337202,13395.9994302184,1298.749349377152,1812.9472710583427
IMU2_GyroY_Amp,41.4568321340726,8918.93545022673,1041.9160435069557,1292.7447307580137
IMU2_GyroZ_Mean,-7277.3656198875,5519.05466626374,-28.604073371394037,822.9541148018124
IMU2_GyroZ_StdDev,47.3490378345901,10171.0444831271,1047.375272677277,1430.7839706694554
IMU2_GyroZ_RMS,39.5865298478382,10153.8263954493,1026.3907615752826,1418.7976614114748
IMU2_GyroZ_Amp,73.48484798418,9603.22708060322,873.2087775885578,1251.6179698587666
IMU2_AccX_Mean,-46.4000306972806,147.730375497778,100.20096567119293,12.925745485713266
IMU2_AccX_StdDev,52.1902914404363,462.057867857078,123.71137330338094,41.274352294966675
IMU2_AccX_RMS,83.7833321085231,319.885229379033,115.12747497262475,26.687997176575394
IMU2_AccX_Amp,69.9371069182384,405.471698113206,158.7293507959006,52.47124270485525
IMU2_AccY_Mean,-821.419305524831,877.346018954265,71.25307158892365,181.13452117929256
IMU2_AccY_StdDev,35.0614606192776,3172.55750447814,430.40183517728093,467.1418769244735
IMU2_AccY_RMS,70.780876095385,2883.21922163893,376.13252598062377,410.5115891719251
IMU2_AccY_Amp,38.7219343696028,3001.4447236181,443.01711120954053,427.44740737242853
IMU2_AccZ_Mean,19.5266333871165,262.317972854067,96.2103996549299,26.770948391710302
IMU2_AccZ_StdDev,38.9248962988272,1358.84102320058,153.15641547796304,111.84661880030482
IMU2_AccZ_RMS,70.2752596664758,1310.38444825977,136.2453479966913,99.08979194698556
IMU2_AccZ_Amp,55.1785714285715,1194.18786692759,200.92708266698628,125.89144121187175
OFS_FIB_Mean,47.985347985348,333.400946585531,140.8863110855845,54.508653003989544
OFS_FIB_StdDev,10.8935242858779,94738.1489878978,9243.820542796973,15353.98166799602
OFS_FIB_RMS,-3789.42733672229,3466.32208389778,230.7813209087667,1204.086180974292
OFS_FIB_ROM,18.8085359791609,4495.721883158,924.5241131200445,1066.8085271213465
OFS_FIB_tnorm,17.7548303195559,59584.6837745157,6676.588473442834,10114.489651372514
OFS_FIB_MNF,9.76e-07,2.33527711113592,0.2720344338462342,0.26201112272138605
OFS_FIB_MDF,0.0685876281220093,1.41996982349215,0.21724477483009383,0.1216021687423656
OFS_FIB_IMNF,0.629658273066933,4.47214649900242,1.0830123918659826,0.5912700132059436
EMG_EMG_Mean,15.190875434049,15927.9570285261,1283.115310828892,1806.6035186912297
EMG_EMG_StdDev,7.3970968779718,76197.9628031023,2195.518180502579,4119.912450307772
EMG_EMG_RMS,15.671829232081,27749.8354256408,1422.0409702475035,2140.30115783407
EMG_EMG_Amp,8.86029715574656,55656.2562188678,2103.6991063891933,3716.9384080787922
