,min,max,mean,std
Spine abduction-adduction max velocity,0.85842,2.2948,1.4257767539267017,0.22962213666423736
Ankle flexo-extension range,0.85842,2.2948,1.4257317277486914,0.22934973713718076
Spine abduction-adduction range,0.57941,1.2595,0.9996468586387436,0.14565928149940197
Hip flexo-extension max velocity,0.57941,1.2595,0.9996323560209425,0.14569618166870743
M_shoulder depth range,0.71991,1.0265,0.7997603664921467,0.047859633440122284
Hip flexo-extension range,0.54682,1.3525,1.1539676963350787,0.11782083592843717
Spine flexo-extension min velocity,0.54682,1.3525,1.1538924607329843,0.11777039387463477
Stand-to-stand time,0.91174,2.181,1.4777089005235604,0.24671788388518734
Spine abduction-adduction min velocity,0.63756,1.4169,1.2118195287958113,0.11730417184346881
M_hip depth range,0.31243,1.3813,1.0745330890052356,0.18469787097734966
fatigue_level,3.0,3.0,3.0,0.0
