,min,max,mean,std
Spine abduction-adduction max velocity,0.91895,2.1194,1.2458873636363632,0.19337422095040913
Ankle flexo-extension range,0.91895,2.1194,1.2458873636363632,0.19337422095040913
Spine abduction-adduction range,0.5551,1.2462,0.9065178636363637,0.14074436984604502
Hip flexo-extension max velocity,0.5551,1.2462,0.9065178636363637,0.14074436984604502
M_shoulder depth range,0.81897,1.0237,0.9048885909090909,0.0279595599078891
Hip flexo-extension range,0.66617,1.1892,0.9982615454545456,0.06914009544107286
Spine flexo-extension min velocity,0.66617,1.1892,0.9982392727272728,0.06913725567191024
Stand-to-stand time,0.87269,1.3635,1.1250705,0.07768620959893277
Spine abduction-adduction min velocity,0.69064,1.279,1.0521475,0.07975910391989763
M_hip depth range,0.65722,1.3244,1.006104909090909,0.10059860014499832
fatigue_level,1.0,1.0,1.0,0.0
