Features,min,max,mean,std
IMU1_GyroX_Mean,-50154.560237019505,58369.4518485939,257.880310303823,8441.749082640035
IMU1_GyroX_StdDev,100.0,58595.3446116425,7837.40110434149,10902.632468608841
IMU1_GyroX_RMS,100.0,58592.630527422196,7805.195386192718,10928.009459436214
IMU1_GyroX_Amp,100.0,41712.2025950159,5977.7591886966475,8030.924136034743
IMU1_GyroY_Mean,-89938.1246957866,52023.6511448985,-253.64903161667706,11121.134610729097
IMU1_GyroY_StdDev,100.0,25141.4179617431,4768.43428709158,5292.209722720743
IMU1_GyroY_RMS,100.0,25111.9027910699,4756.271944386966,5295.06809472724
IMU1_GyroY_Amp,100.0,21347.1480734124,4223.7098137771145,4754.79429857334
IMU1_GyroZ_Mean,-146053.328489351,60472.0533788078,16.304489248974747,10016.4621814329
IMU1_GyroZ_StdDev,100.0,25058.838838637203,4418.6810015452675,3872.0384547498693
IMU1_GyroZ_RMS,100.0,25090.646405646403,4383.171053380779,3875.071932356317
IMU1_GyroZ_Amp,100.0,19786.4311492337,3801.9843849456115,3498.9957534161463
IMU1_AccX_Mean,-68.067642832854,123.583608660466,33.31687054206991,30.796490791245745
IMU1_AccX_StdDev,94.835700381264,19112.0799552294,391.43260555761464,1465.258416545401
IMU1_AccX_RMS,46.6633011144099,511.741863770647,197.0899596681207,98.78412906949798
IMU1_AccX_Amp,94.11084001394221,10742.5806451613,514.5226639173123,881.0960467852956
IMU1_AccY_Mean,-68.8698103094237,222.128390619604,73.44619573892442,35.06185990537395
IMU1_AccY_StdDev,85.43685944599629,2180.25175545632,537.0620449264418,367.88069430535035
IMU1_AccY_RMS,66.39467889472411,2121.24445110619,434.4707548160747,330.5054624679398
IMU1_AccY_Amp,100.0,2787.24490682042,809.7622130808383,515.5779232010145
IMU1_AccZ_Mean,-538.7511923239421,46735.8262188055,1844.470336839803,7203.198566061901
IMU1_AccZ_StdDev,100.0,22350.8207820089,1633.1583383799732,3007.5331338606757
IMU1_AccZ_RMS,100.0,22377.8950234944,1450.8365618532762,3039.305726394966
IMU1_AccZ_Amp,100.0,22749.2248062014,1950.0691512839828,2907.745060192632
IMU2_GyroX_Mean,-490256.86495933,516181.286080137,456.8886446632904,54536.90604706314
IMU2_GyroX_StdDev,87.420506782453,7445.91022805223,1298.3297905274192,1050.566228301033
IMU2_GyroX_RMS,72.5971521846032,7445.075155163559,1269.1066518922412,1044.7220023468171
IMU2_GyroX_Amp,100.0,5119.34169832774,1120.09104819909,878.0302868737559
IMU2_GyroY_Mean,-131937.046708066,149638.44170593,-238.4981438062513,16154.886900427486
IMU2_GyroY_StdDev,100.0,13423.7438067569,1905.6658745716686,2157.9681378096616
IMU2_GyroY_RMS,100.0,13395.9994302184,1891.8072823122225,2154.35043788002
IMU2_GyroY_Amp,100.0,8918.93545022673,1490.5145228205806,1501.293437511479
IMU2_GyroZ_Mean,-7277.3656198875,5519.05466626374,-50.498746530077376,1015.4989251105739
IMU2_GyroZ_StdDev,100.0,10171.0444831271,1520.5709342598718,1709.2215886902097
IMU2_GyroZ_RMS,100.0,10153.826395449301,1490.5903267043602,1698.608185339899
IMU2_GyroZ_Amp,100.0,9603.227080603221,1247.0069883901288,1520.0699157441336
IMU2_AccX_Mean,60.842642780549,147.730375497778,101.60689858949131,8.860853933366961
IMU2_AccX_StdDev,63.10917471586411,333.653840009862,131.2922632043429,40.05224137518294
IMU2_AccX_RMS,83.7833321085231,318.359664406189,121.1913231876163,28.534182815161007
IMU2_AccX_Amp,100.0,387.54811244414805,179.78751444520336,49.61485518126592
IMU2_AccY_Mean,-821.419305524831,877.346018954265,82.65106649822069,181.8611499008769
IMU2_AccY_StdDev,78.9486828687759,3172.5575044781394,586.3413317191547,549.7639140625733
IMU2_AccY_RMS,76.85608278760759,2883.21922163893,508.37330428188073,487.39148418967073
IMU2_AccY_Amp,100.0,3001.4447236181,603.3105198070147,491.1249593190594
IMU2_AccZ_Mean,19.526633387116497,228.65204681772,92.12148212564324,24.362627602749978
IMU2_AccZ_StdDev,70.3994444769133,1358.8410232005801,168.70354322207575,94.47762954043145
IMU2_AccZ_RMS,76.3192114302094,1310.38444825977,146.60544995711453,78.97786646991966
IMU2_AccZ_Amp,100.0,1177.49510763209,236.96058213762976,113.86061476220071
OFS_FIB_Mean,57.0283882783883,303.670886075949,142.34167318355819,54.240436456984845
OFS_FIB_StdDev,10.8935242858779,87488.1776169403,9394.981438398288,12631.774665696774
OFS_FIB_RMS,-3789.42733672229,3466.32208389778,228.37956546279608,1283.8232996962925
OFS_FIB_ROM,54.171578334009396,4495.721883158,1019.4891710236299,1086.8557450243381
OFS_FIB_tnorm,34.3380347772801,51647.5330950567,7076.86687809925,9037.72515200608
OFS_FIB_MNF,2.61611663621974e-05,1.2403558600231699,0.23588031014216443,0.21044034598773545
OFS_FIB_MDF,0.0955665375538768,0.682513961866232,0.2022482503548371,0.09363608291206645
OFS_FIB_IMNF,0.629658273066933,4.34478152733005,1.0865514974302724,0.5820867310471957
EMG_EMG_Mean,15.190875434049001,12220.6875915723,1400.8148632244477,1505.0850452935817
EMG_EMG_StdDev,22.6193441172354,76197.9628031023,2362.469422452139,4445.766089182812
EMG_EMG_RMS,16.2054452284146,27749.835425640802,1556.2397687186938,2009.7500286574839
EMG_EMG_Amp,38.1402446529319,55656.256218867806,2156.0712797684528,3583.1828354166587
EMG_EMG_MNF,0.0563900416718537,5.23531702400914,0.39722091669043874,0.4593664592414867
EMG_EMG_MDF,0.0572984563469969,1.5173739700336901,0.1979647171680651,0.1558659618340399
