,min,max,mean,std
Stand-to-stand time,0.87269,1.3635,1.1250705,0.07768620959893277
Sit-to-stand time,0.88554,1.3473,1.1299803636363637,0.09589119854695359
Stand-to-sit time,0.7405,1.7014,1.0794203181818183,0.1258489316905823
M_hip vertical range,0.42609,1.298,1.0019750454545455,0.10529984290793733
M_hip depth range,0.65722,1.3244,1.006104909090909,0.10059860014499832
M_hip max vertical velocity,0.7446,1.2356,0.988875090909091,0.08884862899059094
M_hip min vertical velocity,0.91887,1.9915,1.2182696363636363,0.19484206621515401
M_hip max depth velocity,0.56746,1.4377,0.9728158636363637,0.11829820719384603
M_hip min depth velocity,0.69072,1.8688,1.020888090909091,0.13469386500282068
Knee flexo-extension range,0.60222,1.2506,0.9309393181818182,0.12033958073053348
Knee flexo-extension max velocity,0.90782,1.7936,1.224589,0.1879962842047537
Knee flexo-extension min velocity,0.77284,2.0086,1.2429623636363638,0.2165269815214903
Hip flexo-extension range,0.66617,1.1892,0.9982615454545456,0.06914009544107286
Hip flexo-extension max velocity,0.5551,1.2462,0.9065178636363637,0.14074436984604502
Hip flexo-extension min velocity,0.89214,3.5337,1.4039272272727275,0.46837078066025334
Hip abduction-adduction range,0.060795,1.424,0.8480530681818181,0.20879193702671983
Hip abduction-adduction max velocity,0.20644,1.6406,0.8526113181818183,0.2018649801626391
Hip abduction-adduction min velocity,0.32506,1.365,0.8589947727272726,0.1845427671447124
Ankle flexo-extension range,0.91895,2.1194,1.2458873636363632,0.19337422095040913
Ankle flexo-extension max velocity,0.58944,1.379,0.9656311363636364,0.10782179836145903
Ankle flexo-extension min velocity,0.58726,1.3848,0.9692662272727273,0.11484211857564955
M_shoulder vertical range,0.55659,1.234,0.9186258181818182,0.13222562146374522
M_shoulder depth range,0.81897,1.0237,0.9048885909090909,0.0279595599078891
M_shoulder max vertical velocity,0.72443,2.0504,1.0305160454545454,0.16621993181532707
M_shoulder min vertical velocity,0.53701,1.4411,0.9803477272727271,0.12357653722982867
M_shoulder max depth velocity,0.50649,1.1703,0.9203807272727272,0.127690889797856
Spine flexo-extension range,0.90233,2.3965,1.2365019545454548,0.2222620421755652
Spine flexo-extension max velocity,0.6902,1.1417,0.9814104090909089,0.0836290358750141
Spine flexo-extension min velocity,0.66617,1.1892,0.9982392727272728,0.06913725567191024
Spine abduction-adduction range,0.5551,1.2462,0.9065178636363637,0.14074436984604502
Spine abduction-adduction max velocity,0.91895,2.1194,1.2458873636363632,0.19337422095040913
Spine abduction-adduction min velocity,0.69064,1.279,1.0521475,0.07975910391989763
Heart Rate,1.2293,1.7162,1.3410145454545457,0.08401843930726194
Fatigue Condition,1.0,1.0,1.0,0.0
