Feature,IMU1_GyroX_Mean,IMU1_GyroX_StdDev,IMU1_GyroX_RMS,IMU1_GyroX_Amp,IMU1_GyroY_Mean,IMU1_GyroY_StdDev,IMU1_GyroY_RMS,IMU1_GyroY_Amp,IMU1_GyroZ_Mean,IMU1_GyroZ_StdDev,IMU1_GyroZ_RMS,IMU1_GyroZ_Amp,IMU1_AccX_Mean,IMU1_AccX_StdDev,IMU1_AccX_RMS,IMU1_AccX_Amp,IMU1_AccY_Mean,IMU1_AccY_StdDev,IMU1_AccY_RMS,IMU1_AccY_Amp,IMU1_AccZ_Mean,IMU1_AccZ_StdDev,IMU1_AccZ_RMS,IMU1_AccZ_Amp,IMU2_GyroX_Mean,IMU2_GyroX_StdDev,IMU2_GyroX_RMS,IMU2_GyroX_Amp,IMU2_GyroY_Mean,IMU2_GyroY_StdDev,IMU2_GyroY_RMS,IMU2_GyroY_Amp,IMU2_GyroZ_Mean,IMU2_GyroZ_StdDev,IMU2_GyroZ_RMS,IMU2_GyroZ_Amp,IMU2_AccX_Mean,IMU2_AccX_StdDev,IMU2_AccX_RMS,IMU2_AccX_Amp,IMU2_AccY_Mean,IMU2_AccY_StdDev,IMU2_AccY_RMS,IMU2_AccY_Amp,IMU2_AccZ_Mean,IMU2_AccZ_StdDev,IMU2_AccZ_RMS,IMU2_AccZ_Amp,OFS_FIB_Mean,OFS_FIB_StdDev,OFS_FIB_RMS,OFS_FIB_ROM,OFS_FIB_tnorm,OFS_FIB_MNF,OFS_FIB_MDF,OFS_FIB_IMNF,EMG_EMG_Mean,EMG_EMG_StdDev,EMG_EMG_RMS,EMG_EMG_Amp,EMG_EMG_MNF,EMG_EMG_MDF,EMG_EMG_IMNF
Lower Bound,-21.962146,598.131998,597.075620,2345.952993,-19.282833,242.275529,246.804488,1007.090884,-13.867479,202.87835,205.409764,879.352125,-8.782098,23.351752,23.959518,101.315635,-9.571791,28.525763,29.257561,116.777416,3.733433,31.221029,32.111606,129.860973,-3.205060,129.744989,129.627440,503.382698,-3.993472,139.054465,139.344597,538.440235,-3.087882,107.727182,107.676069,414.971076,5.971331,9.978829,13.237706,38.358954,-2.235169,7.823065,8.218140,30.928728,2.945285,8.635408,9.931486,32.361204,113.540711,43.024905,-214.532598,-1.868131,118.257128,0.136688,0.149590,0.780915,0.111161,-1.068938,-0.351823,-3.451675,0.231316,0.130534,5.843833
Upper Bound,22.537275,1481.666400,1479.808478,4842.017022,16.607841,463.066484,465.945615,1726.829552,16.162202,371.01908,373.089772,1411.230202,0.571705,32.035776,34.223935,135.778023,-1.649721,43.164282,44.424517,172.473781,14.028928,46.016683,48.436529,179.951592,2.961519,252.621041,252.311598,925.880740,6.281823,258.642689,258.564089,1012.380313,3.148558,225.413511,225.208344,828.989009,15.947543,15.438981,22.639824,60.711301,0.499737,13.609919,13.968703,51.104909,17.676444,12.432472,23.142735,56.227099,174.362001,55.544059,170.324238,346.582456,152.594604,0.571693,0.367776,1.231794,14.780431,9.644464,17.751989,35.212901,0.505730,0.235192,10.535295
