"",OFS_FIB_MDF,OFS_FIB_MNF,EMG_EMG_MDF,IMU2_AccX_Mean,OFS_FIB_IMNF,IMU2_AccX_RMS,IMU2_AccX_StdDev,EMG_EMG_IMNF,IMU2_AccZ_RMS,IMU2_GyroY_RMS
Lower Bound,0.248683,0.344191,0.172863,10.949437,0.996355,17.928765,12.698905,8.179564,16.527111,198.944343
Upper Bound,0.268683,0.364191,0.192863,10.969437,1.016355,17.948765,12.718905,8.199564,16.547111,198.964343
