OFS_FIB_MDF,OFS_FIB_MNF,EMG_EMG_MDF,IMU2_AccX_Mean,OFS_FIB_IMNF,IMU2_AccX_RMS,IMU2_AccX_StdDev,EMG_EMG_IMNF,IMU2_AccZ_RMS,IMU2_GyroY_RMS,Fatigue_level
0.185182,0.195809,0.139344,4.853184,0.802604,18.110767,17.479783,7.995893,18.286831,206.652788,2
0.205795,0.220044,0.18145,4.595711,0.803105,18.722925,18.189062,7.510609,18.067799,214.316548,2
0.162219,0.150824,0.189336,4.467244,0.818517,19.027453,18.536035,7.517394,17.702653,213.621405,2
0.173791,0.149395,0.166679,4.337174,0.814287,19.490234,19.042583,6.862854,17.215561,227.136533,2
0.167647,0.127983,0.163411,4.541759,0.814453,19.003319,18.491793,7.280931,15.424119,234.605684,2
0.161524,0.135375,0.156449,4.597948,0.820034,19.616695,19.108803,7.683253,14.80867,250.493447,2
0.169776,0.146769,0.173442,4.371363,0.824353,19.803333,19.35607,7.360166,14.742579,262.956599,2
0.160433,0.128695,0.158735,4.23771,0.829203,20.330385,19.92902,6.92029,15.407039,304.692543,2
0.154527,0.129491,0.160438,4.659176,0.829125,19.807764,19.290726,7.102172,14.839637,313.048396,2
0.203453,0.377114,0.156635,102.621861,2.354224,101.721972,90.973716,8.445732,89.313272,154.782853,1
0.188936,0.38217,0.097459,60.690543,1.297537,60.766459,41.944955,7.044719,47.228364,132.169504,1
0.157955,0.206242,0.215719,29.812814,0.972143,30.770147,7.627447,7.952289,14.084347,111.947594,1
0.18911,0.022633,0.201971,29.804968,0.860106,30.876073,8.077193,7.447551,14.97871,162.233907,1
0.202135,0.021436,0.401736,29.711337,0.878241,30.936009,8.640165,7.448971,15.827579,207.903782,1
0.221454,0.021124,0.32345,29.596512,0.936981,30.94472,9.061654,7.889799,16.478921,229.07581,1
0.206319,0.14784,0.189287,29.429776,0.874952,30.802118,9.123409,7.038873,16.595082,228.419869,1
0.222346,0.082148,0.249791,29.679143,0.821522,31.09763,9.312034,7.13523,16.199576,216.996248,1
0.214275,0.022978,0.231744,29.437476,0.874332,30.941342,9.560324,6.732631,16.030447,216.374851,1
0.228448,0.096536,0.836746,29.641664,0.803282,31.116975,9.499196,6.646981,16.383127,214.175145,1
0.178383,0.413769,0.148248,29.123059,0.765844,30.538782,9.223845,6.924362,16.790167,208.189328,1
0.125162,0.169834,0.09692,29.503175,0.782277,30.880519,9.1337,7.247453,16.416928,214.647821,1
0.187302,0.333785,0.145302,29.628459,0.792001,31.099463,9.461677,6.961823,16.114075,220.071577,1
0.186552,0.31535,0.250591,29.875251,0.769783,31.495133,9.990588,7.310509,15.762678,212.602243,1
0.203734,0.37777,0.15801,29.5757,0.718397,31.070272,9.542437,7.533878,15.269838,161.762593,1
0.126035,0.15897,0.208884,29.284088,0.704946,30.729584,9.334267,7.019303,15.730801,147.51681,1
0.088709,0.074022,0.356186,29.383601,0.717803,30.926076,9.658331,7.061259,15.027599,142.826355,1
0.169801,0.288576,0.100023,29.938371,0.747207,31.825365,10.795767,7.512297,13.345871,128.694347,1
0.224077,0.433249,0.175572,30.053682,0.722184,32.349418,11.979778,7.592449,13.285354,160.886136,1
0.095174,0.100371,0.286928,30.01732,0.944614,32.566713,12.658894,8.578517,12.853456,169.007548,1
0.180286,0.305887,0.125339,29.999111,1.659084,32.646608,12.901535,28.195742,12.596651,170.979939,2
0.211008,0.289734,0.374927,29.959729,0.824043,33.226985,14.327774,7.207072,12.766321,220.503714,2
0.130774,0.189575,0.126168,29.963485,0.733177,34.098224,16.313524,6.789744,12.146483,285.626572,2
0.21373,0.360632,0.141414,30.138127,0.795707,34.300244,16.411404,7.255582,11.864339,289.799267,2
0.144626,0.171425,0.296354,30.115122,0.759712,33.643969,15.001938,6.840793,12.018127,232.789639,2
0.102161,0.082754,0.110177,29.97726,0.756957,32.988297,13.801636,6.565502,12.005192,168.609844,2
0.165569,0.302842,0.113031,29.858167,0.737168,33.02253,14.12528,6.647322,12.326843,190.477633,2
0.254456,0.486474,0.153869,29.824597,0.793069,33.732719,15.760908,6.616284,13.188695,262.492338,2
0.098184,0.099434,0.39763,30.036423,0.768548,34.66133,17.32414,6.927714,14.36916,332.004393,2
0.162989,0.297925,0.180541,30.165451,0.771244,35.00517,17.806136,7.330856,15.08619,375.444864,2
0.180671,0.276727,0.151558,29.72737,0.861511,34.528396,17.587027,6.410715,15.461623,370.022276,2
0.126639,0.185691,0.203877,29.268203,0.847542,34.801941,18.855769,7.066971,16.416681,399.942764,2
0.227823,0.423376,0.101086,28.695635,0.854422,34.727594,19.607988,6.611594,17.178533,399.305365,2
0.1878,0.345635,0.168922,29.731228,0.807961,35.281383,19.014965,6.729285,15.697307,408.370691,2
0.244374,0.42077,0.241373,29.557573,0.774592,35.588557,19.862734,6.723166,16.280072,441.167242,2
0.213265,0.382075,0.124556,30.083425,0.79481,35.93305,19.708622,6.722861,15.700654,426.391044,2
0.22373,0.354246,0.262821,29.68599,0.856208,35.855633,20.145314,6.927907,15.744778,419.844582,2
0.089271,0.060304,0.161956,30.160694,0.826678,36.483774,20.590086,6.490593,16.130659,436.627316,2
0.088469,0.064396,0.269185,29.992415,0.8628,36.188189,20.29814,6.777682,16.562545,442.378649,2
0.132447,0.147635,0.087192,30.272791,0.832523,36.573139,20.56732,6.831149,16.692179,452.013969,2
0.206008,0.336699,0.109809,29.905951,0.808044,36.313566,20.6195,6.476105,16.35763,423.793496,2
0.187046,0.318499,0.653791,30.010554,0.831636,36.108774,20.102196,6.93978,16.483285,419.574974,2
0.18312,0.289173,0.183067,29.661991,0.825611,35.55475,19.638497,6.650949,17.903857,464.305557,2
0.119399,0.124984,0.220492,29.576803,0.798215,35.406712,19.511232,6.407143,19.592739,521.679369,2
0.096639,0.070471,0.184633,29.641019,0.792376,35.48566,19.553898,6.270097,20.052662,534.708569,2
0.093675,0.062496,0.241203,29.667575,0.8132,35.1312,18.851866,6.459654,18.886961,515.750283,2
0.076027,0.045633,0.083393,29.958904,0.798078,35.453312,18.982704,6.29298,18.464987,509.962645,2
0.140159,0.226826,0.087777,29.834743,0.771786,35.650536,19.53735,6.187884,19.344129,533.199933,2
0.172793,0.169872,0.222875,99.534527,0.991296,98.94818,98.59208,7.413336,126.90299,1397.676469,0
0.262399,0.375791,0.138843,98.952982,0.956473,96.304796,95.006888,7.353413,138.742717,1619.875139,0
0.27595,0.418651,0.272452,96.228966,0.967413,94.282272,93.38986,7.029566,148.846934,2125.100593,0
0.154783,0.126774,0.254081,101.374704,0.953329,96.969582,94.872306,6.918875,153.139887,2376.683377,0
0.154059,0.130778,0.186829,101.782705,0.938758,95.117781,91.861924,7.072437,159.70572,2318.765889,0
0.169033,0.127733,0.132503,106.317217,0.95263,96.08928,91.043017,7.169421,178.067095,2727.983835,0
